순번,테이블명,테이블한글명,컬럼명,컬럼한글명,타입,크기,PK(Y),FK (Y),NOT NULL (Y),Default,비고,AS_IS,AS_IS 코드 테이블 및 컬럼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,REF_BFR_ADDR,이전주소정보,WHOL_ADDR_NM,전체주소명,VARCHAR,200,,,,,,"ADDRESS_PROVINCE_OLD.NAME
ADDRESS_SUBDEV_OLD.NAME
ADDRESS_SUBDEV_UNIT_OLD.NAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,REF_BFR_ADDR,이전주소정보,UP_ADDR_CD,상위주소코드,VARCHAR,10,,,,,,"ADDRESS_PROVINCE_OLD.ID
ADDRESS_SUBDEV_OLD.ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,REF_BFR_ADDR,이전주소정보,ADDR_SE_CD,주소구분코드,VARCHAR,1,,SYS_CD_GRP.GRP_ID,,,GRP_ID='017',"1: ADDRESS_PROVINCE
2: ADDRESS_SUBDEV
3: ADDRESS_SUBDEV_UNIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,REF_BFR_ADDR,이전주소정보,OZIP_CD,우편번호,VARCHAR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,REF_BFR_ADDR,이전주소정보,USE_YN,사용여부,CHAR,1,,,,default 'Y',"Value : 'Y', 'N'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,REF_BFR_ADDR,이전주소정보,RGTR_ID,등록자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,ADDRESS_SUBDEV.CREATED_BY,SYSTEM_USER.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,REF_BFR_ADDR,이전주소정보,REG_DT,등록일시,DATETIME,,,,,default NOW(),,ADDRESS_SUBDEV.CREATE_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,REF_BFR_ADDR,이전주소정보,MDFR_ID,수정자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,ADDRESS_SUBDEV.UPDATED_BY,SYSTEM_USER.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,REF_BFR_ADDR,이전주소정보,MDFCN_DT,수정일시,DATETIME,,,,,,,ADDRESS_SUBDEV.UPDATE_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SYS_CD,코드정보,GRP_ID,그룹아이디,VARCHAR,100,Y,SYS_CD_GRP.GRP_ID,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SYS_CD,코드정보,CD_ID,코드ID,VARCHAR,10,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SYS_CD,코드정보,CD_NM,코드명,VARCHAR,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SYS_CD,코드정보,CD_NO,코드순서,VARCHAR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SYS_CD,코드정보,USE_YN,사용여부,CHAR,1,,,,default 'Y',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SYS_CD,코드정보,UP_GRP_ID,상위그룹아이디,VARCHAR,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SYS_CD,코드정보,UP_CD_ID,상위코드ID,VARCHAR,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SYS_CD,코드정보,SYS_CRT_DT,시스템생성일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SYS_CD,코드정보,SYS_CRT_USR_ID,시스템생성자ID,VARCHAR,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SYS_CD,코드정보,SYS_UPD_DT,시스템수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SYS_CD,코드정보,SYS_UPD_USR_ID,시스템수정자ID,VARCHAR,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SYS_CD_GRP,공통코드 그룹,GRP_ID,그룹아이디,VARCHAR,100,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SYS_CD_GRP,공통코드 그룹,GRP_NM,그룹명,VARCHAR,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SYS_CD_GRP,공통코드 그룹,USE_YN,사용여부,CHAR,1,,,,default 'Y',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SYS_CD_GRP,공통코드 그룹,COMMENT,설명,VARCHAR,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SYS_CD_GRP,공통코드 그룹,SYS_CRT_DT,시스템생성일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SYS_CD_GRP,공통코드 그룹,SYS_CRT_USR_ID,시스템생성자ID,VARCHAR,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SYS_CD_GRP,공통코드 그룹,SYS_UPD_DT,시스템수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SYS_CD_GRP,공통코드 그룹,SYS_UPD_USR_ID,시스템수정자ID,VARCHAR,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,몽골_사용정보,USER_ID,사용자ID,VARCHAR,20,,,,,,"SYS_USER.ID
SYSTEM_USER.ID","SYS_USER.LOGINNAME
SYSTEM_USER.USERNAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,몽골_사용정보,USER_NM,사용자명,VARCHAR,200,,,,,,"SYS_USER.FULLNAME
SYSTEM_USER.LASTNAME + "" "" + SYSTEM_USER.FIRSTNAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,몽골_사용정보,LNM,성,VARCHAR,100,,,,,Last Name,SYSTEM_USER.LASTNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,몽골_사용정보,FNM,이름,VARCHAR,100,,,,,First Name,SYSTEM_USER.FIRSTNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,몽골_사용정보,PSWD,비밀번호,VARCHAR,128,,,,,,"SYS_USER.LOGINPASS
SYSTEM_USER.PASSWORD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,몽골_사용정보,DEPT_CD,부서코드,VARCHAR,5,,,,,,"SYS_USER.BRANCH_ID
SYSTEM_USER.USERDEPARTMENTID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,몽골_사용정보,AUTHRT_CD,권한코드,VARCHAR,2,,SYS_AUTHRT.AUTHRT_CD,,,부서->부서유형코드(DEPT_TYPE_CD)에 따라 다름.,"SYS_USER.GROUP_ID
SYSTEM_USER.USERPOSITIONID","SYS_USER.GROUP_ID=SYS_GROUP.ID
SYSTEM_USER.USERPOSITIONID=SYSTEM_POSITION.ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,몽골_사용정보,PSWD_EXPRY_DT,비밀번호만료일시,DATETIME,,,,,,,"SYS_USER.PWD_EXPIRED
SYSTEM_USER.LAST_CHANGE_PASSWORD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,몽골_사용정보,USE_YN,사용여부,CHAR,1,,,,default 'Y',,"SYS_USER.STATUS
SYSTEM_USER.ISACTIVE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,몽골_사용정보,RGTR_ID,등록자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,"SYS_USER.CREATED_BY
SYSTEM_USER.CREATEDBY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,몽골_사용정보,REG_DT,등록일시,DATETIME,,,,,default NOW(),,"SYSTEM_USER.CREATEDDATE
SYS_USER.CREATED_DATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,몽골_사용정보,MDFR_ID,수정자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,"SYSTEM_USER.MODIFIEDBY
SYS_USER.UPDATED_BY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,몽골_사용정보,MDFCN_DT,수정일시,DATETIME,,,,,,,"SYSTEM_USER.MODIFIEDDATE
SYS_USER.UPDATED_DATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SYS_DEPT_GRP,공통그룹,GRP_ID,그룹아이디,VARCHAR,32,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SYS_DEPT_GRP,공통그룹,GRP_NM,그룹이름,VARCHAR,100,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SYS_DEPT_GRP,공통그룹,GRP_LVL,그룹레벨,VARCHAR,1,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SYS_DEPT_GRP,공통그룹,TOP_GRP_ID,상위 그룹아이디,VARCHAR,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SYS_DEPT_GRP,공통그룹,USE_YN,사용여부,CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SYS_DEPT_GRP,공통그룹,SYS_CRT_DT,시스템생성일시,DATETIME,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SYS_DEPT_GRP,공통그룹,SYS_CRT_USR_ID,시스템생성자ID,VARCHAR,32,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SYS_DEPT_GRP,공통그룹,SYS_UPD_DT,시스템수정일시,DATETIME,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SYS_DEPT_GRP,공통그룹,SYS_UPD_USR_ID,시스템수정자ID,VARCHAR,32,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SYS_USER,시스템사용자,ID,시퀀스 아이디,BIGINT,,Y,,,,auto_increment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SYS_USER,시스템사용자,EMAIL,이메일,VARCHAR,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SYS_USER,시스템사용자,PWD,비밀번호,VARCHAR,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SYS_USER,시스템사용자,ROLE,역할,VARCHAR,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SYS_USER,시스템사용자,USER_ID,유저아이디,VARCHAR,255,,,,,유니크 인덱스(Unique Index) ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SYS_USER,시스템사용자,OFFC_CD,소속코드,VARCHAR,7,,SYS_OFFC.OFFC_CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SYS_USER,시스템사용자,USER_NM,사용자이름,VARCHAR,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SYS_USER,시스템사용자,TEL,전화번호,VARCHAR,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SYS_USER,시스템사용자,ADDR,주소,VARCHAR,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SYS_USER,시스템사용자,ADDR_DTL,주소상세,VARCHAR,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SYS_USER,시스템사용자,POST_CD,우편번호,CHAR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SYS_USER,시스템사용자,UUID,파일ID,VARCHAR,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SYS_USER,시스템사용자,SYS_CRT_USR_ID,시스템생성자ID,VARCHAR,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SYS_USER,시스템사용자,SYS_CRT_DT,시스템생성일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SYS_USER,시스템사용자,SYS_UPD_USR_ID,시스템수정자ID,VARCHAR,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SYS_USER,시스템사용자,SYS_UPD_DT,시스템수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SYS_USER_GRP,공통사용자그룹,GRP_ID,그룹아이디,VARCHAR,32,Y,SYS_DEPT_GRP.GRP_ID,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SYS_USER_GRP,공통사용자그룹,ID,ID,INT,,Y,SYS_USER.ID,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SYS_USER_GRP,공통사용자그룹,USER_EMAIL,사용자 email,VARCHAR,255,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SYS_USER_GRP,공통사용자그룹,USER_ID,사용자 ID,VARCHAR,255,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SYS_USER_GRP,공통사용자그룹,OFFC_CD,소속코드,VARCHAR,7,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SYS_USER_GRP,공통사용자그룹,SYS_CRT_DT,시스템생성일시,DATETIME,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SYS_USER_GRP,공통사용자그룹,SYS_CRT_USR_ID,시스템생성자ID,VARCHAR,32,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SYS_USER_GRP,공통사용자그룹,SYS_UPD_DT,시스템수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SYS_USER_GRP,공통사용자그룹,SYS_UPD_USR_ID,시스템수정자ID,VARCHAR,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,몽골_부서/검사소,ABBR,약어,VARCHAR,100,,,,,,ARCHIVE_NUMBER.ABBR,,1,SYS_DEPT,부서정보,DEPT_CD,부서코드,VARCHAR,5,Y,,Y,,,"SUBSTR(SYS_BRANCH.NAME, 1, 5)
SYSTEM_DEPARTMENT.ID",,,,,,,,,,,,,,,,,
2,,몽골_부서/검사소,DEPT_PRMSN_NO,부서허가번호,VARCHAR,100,,,,,,SYSTEM_DEPARTMENT.DEP_LICENSE_NUMBER,,2,SYS_DEPT,부서정보,DEPT_NM,부서명,VARCHAR,100,,,Y,,,"SYS_BRANCH.NAME
SYSTEM_DEPARTMENT.NAME",,,,,,,,,,,,,,,,,
3,,몽골_부서/검사소,DEPT_PRMSN_BGNG_YMD,부서허가시작일자,VARCHAR,8,,,,,,SYSTEM_DEPARTMENT.DEP_LICENSE_START_DATE,,3,SYS_DEPT,부서정보,UP_DEPT_CD,상위부서코드,VARCHAR,5,,SYS_DEPT.DEPT_CD,,,,SYS_BRANCH.PARENT_ID,,,,,,,,,,,,,,,,,
4,,몽골_부서/검사소,DEPT_PRMSN_END_YMD,부서허가종료일자,VARCHAR,8,,,,,,SYSTEM_DEPARTMENT.DEP_LICENSE_END_DATE,,4,SYS_DEPT,부서정보,AIMG_CD,아이막코드,VARCHAR,2,,"SYS_CD.CD
REF_ADDR.ADDR_CD",,,"CODE_ID='023'
REF_ADDR.LEFT(ADDR_CD, 2) and 
COM_ADDR_INFO.ADDR_SE_CD='1'","SYS_BRANCH.AIMAG_ID
SYSTEM_DEPARTMENT.PROVINCE_ID","SYS_BRANCH.AIMAG_ID=REF_AIMAG_CITY_ID
SYSTEM_DEPARTMENT.PROVINCE_ID=ADDRESS_PROVINCE.ID",,,,,,,,,,,,,,,,
5,,몽골_부서/검사소,DEPT_REG,부서등록,VARCHAR,100,,,,,,SYSTEM_DEPARTMENT.DEP_REGISTER,,5,SYS_DEPT,부서정보,SOUM_CD,솜코드,VARCHAR,10,,REF_ADDR.ADDR_CD,,,COM_ADDR_INFO.ADDR_SE_CD='2',SYS_BRANCH.DISTRICT_ID,,,,,,,,,,,,,,,,,
6,,몽골_부서/검사소,DEPT_TELNO,부서전화번호,VARCHAR,13,,,,,,SYSTEM_DEPARTMENT.DEP_PHONE,,6,SYS_DEPT,부서정보,EML,이메일,VARCHAR,100,,,,,,,,,,,,,,,,,,,,,,,
7,,몽골_부서/검사소,DEPT_RBPRSN,부서책임자,VARCHAR,100,,,,,,SYSTEM_DEPARTMENT.DEP_DIRECTOR,,7,SYS_DEPT,부서정보,DEPT_TYPE_CD,부서유형코드,VARCHAR,2,,SYS_CD,,,CODE_ID='020',"SYS_BRANCH.IS_PRIVATE
SYSTEM_DEPARTMENT.DEPARTMENT_TYPE",,,,,,,,,,,,,,,,,
8,,몽골_부서/검사소,RGTR_ID,등록자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,"SYS_BRANCH.CREATED_BY
SYSTEM_DEPARTMENT.CREATEDBY",,8,SYS_DEPT,부서정보,DEPT_NO,부서번호,VARCHAR,20,,,,,,SYS_BRANCH.BRANCH_NO,,,,,,,,,,,,,,,,,
9,,몽골_부서/검사소,REG_DT,등록일시,DATETIME,,,,,default NOW(),,"SYS_BRANCH.CREATED_DATE
SYSTEM_DEPARTMENT.CREATEDDATE",,9,SYS_DEPT,부서정보,WGHT_LMT_YN,중량제한여부,CHAR,1,,,,default 'N',,SYS_BRANCH.IS_WEIGHT_LIMITED,,,,,,,,,,,,,,,,,
10,,몽골_부서/검사소,MDFR_ID,수정자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,"SYS_BRANCH.UPDATED_BY
SYSTEM_DEPARTMENT.MODIFIEDBY",,10,SYS_DEPT,부서정보,LAT,위도,FLOAT,,,,,,,SYS_BRANCH.LAT,,,,,,,,,,,,,,,,,
11,,몽골_부서/검사소,MDFCN_DT,수정일시,DATETIME,,,,,,,"SYS_BRANCH.UPDATED_DATE
SYSTEM_DEPARTMENT.MODIFIEDDATE",,11,SYS_DEPT,부서정보,LOT,경도,FLOAT,,,,,,,SYS_BRANCH.LNG,,,,,,,,,,,,,,,,,
1,SYS_OFFC,기관,OFFC_CD,기관코드,VARCHAR,7,Y,,Y,,,,,14,SYS_DEPT,부서정보,DEPT_LV,부서레벨,INT,,,,,,,SYS_BRANCH.BRANCH_LEVEL,,,,,,,,,,,,,,,,,
2,SYS_OFFC,기관,TOP_OFFC_CD,최상위 코드,VARCHAR,7,,SYS_OFFC.OFFC_CD,Y,,,,,12,SYS_DEPT,부서정보,OPER_HR,운영시간,VARCHAR,100,,,,,,SYS_BRANCH.TIMETABLE,,,,,,,,,,,,,,,,,
3,SYS_OFFC,기관,OFFC_NM,기관명,VARCHAR,100,,,Y,,,,,13,SYS_DEPT,부서정보,DADDR,상세주소,VARCHAR,200,,,,,,"SYS_BRANCH.ADDRESS
SYSTEM_DEPARTMENT.DEP_ADDRESS",,,,,,,,,,,,,,,,,
4,SYS_OFFC,기관,OFFC_TYPE,기관유형,VARCHAR,100,,,,,,,,15,SYS_DEPT,부서정보,SYNC_YN,동기화여부,CHAR,1,,,,default 'Y',,SYS_BRANCH.IS_SYNC,,,,,,,,,,,,,,,,,
5,SYS_OFFC,기관,OFFC_TYPE_CD,등록관청 구분부호,VARCHAR,4,,,,,,,,16,SYS_DEPT,부서정보,STTS_YN,상태여부,CHAR,1,,,,default 'Y',,SYS_BRANCH.STATUS,,,,,,,,,,,,,,,,,
6,SYS_OFFC,기관,SYS_CRT_USR_ID,시스템생성자ID,VARCHAR,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SYS_OFFC,기관,SYS_CRT_DT,시스템생성일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SYS_OFFC,기관,SYS_UPD_USR_ID,시스템수정자ID,VARCHAR,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SYS_OFFC,기관,SYS_UPD_DT,시스템수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SYS_MENU,메뉴,MENU_CD,메뉴코드,VARCHAR,100,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SYS_MENU,메뉴,MENU_NM_KR,메뉴명_한국어,VARCHAR,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SYS_MENU,메뉴,MENU_NM_EN,메뉴명_영어,VARCHAR,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SYS_MENU,메뉴,MENU_NM_MN,메뉴명_몽골어,VARCHAR,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SYS_MENU,메뉴,MENU_NO,메뉴순서,VARCHAR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SYS_MENU,메뉴,MENU_LVL,메뉴레벨,VARCHAR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SYS_MENU,메뉴,TOP_MENU_CD,상위 메뉴코드,VARCHAR,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SYS_MENU,메뉴,URL,URL,VARCHAR,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SYS_MENU,메뉴,USE_YN,사용여부,CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SYS_MENU,메뉴,MENU_SEQ,메뉴고유번호,INT,,,,,,auto_increment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SYS_MENU,메뉴,MENU_ICON,메뉴아이콘,VARCHAR,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SYS_MENU,메뉴,PRGM_URL,API 경로,VARCHAR,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SYS_MENU,메뉴,SYS_CRT_DT,시스템생성일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SYS_MENU,메뉴,SYS_CRT_USR_ID,시스템생성자ID,VARCHAR,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SYS_MENU,메뉴,SYS_UPD_DT,시스템수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SYS_MENU,메뉴,SYS_UPD_USR_ID,시스템수정자ID,VARCHAR,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SYS_AUTHRT,권한정보,AUTHRT_CD,권한코드,VARCHAR,4,Y,,Y,,,"SYSTEM_POSITION.ID
SYS_GROUP.ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SYS_AUTHRT,권한정보,AUTHRT_NM,권한명,VARCHAR,128,,,,,,"SYSTEM_POSITION.NAME
SYS_GROUP.NAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SYS_AUTHRT,권한정보,AUTHRT_EXPLN,권한설명,VARCHAR,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
